"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1023",53.5171811118881,2.29467951006279,0.606852524005752,3.7812803264225,0.000156023863442921,0.00126733493986765
"g1369",3462.07783058083,-1.23479046109929,0.329211238705819,-3.75075427544165,0.000176303413475476,0.00142332755757031
"g612",416.459018485858,2.59039941703547,0.691821778218964,3.74431609207827,0.000180885813535944,0.00145147161891872
"g87",5.70923185312726,-5.90821788152783,1.58314917624076,-3.73194009143036,0.000190010696475693,0.00151550700080613
"g837",71.5767513766666,2.01987420754062,0.542598852935395,3.72259210761936,0.000197187939032477,0.00156333431903593
"g351",341.96732029317,-2.10615280010622,0.566864515261222,-3.71544300869789,0.000202847983652825,0.00159863529974012
"g1748",326.642226215989,-1.68666621690383,0.454872371167272,-3.7079988230008,0.000208903627070625,0.00163661776474265
"g652",300.097956634037,-1.39842474322139,0.377638556174354,-3.70307724239827,0.000212999993969864,0.00165889407068294
"g831",24.0602719211694,-4.3670682290418,1.17989464845185,-3.70123572877617,0.000214552037166021,0.00166120992519188
"g501",217.122629844123,-1.32836596888247,0.359424266276719,-3.69581604114556,0.000219181638521664,0.00168718889187606
"g920",87.2646936042062,2.31652231002886,0.627976193865949,3.68886963018116,0.000225252597845625,0.00172389849449484
"g648",10.5639380079863,4.98922207160065,1.35565035230395,3.6803162873977,0.000232944836100648,0.00177252277584631
"g616",256.640017736693,1.07345934199816,0.292368824680777,3.67159304064042,0.000241043294771253,0.00182366469872651
"g290",746.126951667447,1.87726972437546,0.511551540769651,3.66975675911567,0.000242781374995882,0.00182637807099175
"g1243",261.842935409053,-1.90590057648855,0.520193089188384,-3.66383294222954,0.00024846887548466,0.00185860333978356
"g311",8.97964303389394,6.69352232214161,1.83176847314909,3.65413119630476,0.000258054298223853,0.00191946006094596
"g904",263.972956725239,-1.64199702984161,0.449671213724824,-3.65155024321043,0.000260662089053326,0.00192802573132181
"g1280",1825.05588525616,-1.83583600080636,0.506753458424358,-3.62273995428566,0.000291498838590218,0.00214413590163027
"g720",2800.21430126864,-1.59167222291075,0.440795335717553,-3.61090985756402,0.000305124706374139,0.00223196194054895
"g847",10.9430201364775,4.05174506899975,1.12384040004885,3.60526732160867,0.000311831773976382,0.0022560943647253
"g1598",838.927150069539,-1.46573497267591,0.406470458686695,-3.60600614719134,0.000310945773096136,0.0022560943647253
"g1184",120.157282601892,-1.7978798748144,0.499104903625708,-3.60220839697996,0.000315525252658204,0.00227040997021447
"g991",1986.00617967346,-1.1135831265444,0.309271390530069,-3.6006664717218,0.00031740252739799,0.00227157268256724
"g1620",1033.8722370347,1.56585137086624,0.436746142444532,3.58526663132487,0.000336733999174646,0.00239696674681307
"g362",1223.27188415693,1.53719272258038,0.429423145588274,3.57966900101427,0.000344029697462228,0.00243580384727268
"g921",483.261187940885,1.12772726454631,0.315799354871879,3.57102459884326,0.000355587493688024,0.0025042438385263
"g92",1367.05457788519,0.898843797899337,0.253031820511171,3.55229550213687,0.000381885729030087,0.00267522066262347
"g781",403.705435039052,1.03171323666726,0.290584999623439,3.55046970079057,0.000384544397262202,0.00267966727355345
"g574",75.066482245495,-2.07824600696517,0.590008807441001,-3.52239827737316,0.000427661127570141,0.00295175281237505
"g671",776.457028295815,-1.73360643140648,0.492392607075356,-3.52078078853277,0.000430278166758599,0.00295175281237505
"g676",335.902384566928,-2.37755875104737,0.675167067234337,-3.52143768028628,0.000429213541382088,0.00295175281237505
"g1297",103.294109498527,-3.02333678352328,0.860149115202013,-3.51489844038638,0.000439922191991383,0.00300235557833294
"g374",25.8873223213096,3.76477798871107,1.07392177843402,3.50563520017337,0.000455519085075757,0.00309285778789899
"g619",244.26692764828,1.56681923215074,0.447700383454074,3.49970491439498,0.000465773456319797,0.00313037591963153
"g1158",32.7315076322302,-3.39279507579047,0.969094817762633,-3.50099393124759,0.000463526399089584,0.00313037591963153
"g460",410.335825885172,1.43528154170807,0.412612877400442,3.47851853473571,0.000504193568873037,0.00334119115338689
"g856",193.026920053659,-1.53185564193436,0.440308320864706,-3.4790522216932,0.000503190519863828,0.00334119115338689
"g1591",317.600736194941,1.02327152489877,0.294229717226228,3.4777980094784,0.000505550732392876,0.00334119115338689
"g1674",16.1368463856351,5.11460182729715,1.471020934351,3.47690621381515,0.000507235212863116,0.00334119115338689
"g1550",51.4036016457819,-2.26363128749731,0.652125169210802,-3.47116074393624,0.000518213687909756,0.00339660852867583
"g1399",281.082872165202,-1.9069482307151,0.550005654642413,-3.4671429550209,0.000526022054522295,0.00343080394181044
"g816",23.707053042385,2.30870312161087,0.66820975335399,3.4550575025621,0.00055017547000735,0.00357074667789084
"g575",1837.61690066352,-1.81631515626929,0.527130124971515,-3.44566753108152,0.000569650740795372,0.0036564125094415
