"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g358",631.299547843457,3393.77968665097,4242.15312685023,1292.8584894238,1045.99271242049,932.195039282474
"g359",548.690075508529,603.133672573297,687.608962332735,351.510279686756,195.158371847581,373.907117872271
"g360",121.364533430325,201.96678026537,231.246835739926,34.0468071947905,32.2923924639882,96.0495348662714
"g361",506.875404326653,407.622451494491,500.158875785976,702.100375395274,838.198187000042,927.907113618801
"g362",721.048110380168,362.433537188541,797.100835315654,1741.90827080374,2312.41610383429,1404.72444741922
"g363",0,9.22222740937764,6.13154488704349,0,0,1.71517026546913
"g364",10.1987002882626,22.1333457825063,21.8983745965839,7.36147182590065,9.82811944556163,24.8699688493024
"g365",492.597223923085,439.900247427313,791.845225412474,1161.27218053583,1045.99271242049,710.938075036956
"g366",1275.85740606165,262.833481167263,423.952532189864,1120.78408549337,1863.13064346575,851.582036805424
"g367",46.9140213260081,5.53333644562658,18.3946346611305,52.4504867595421,60.3727337370214,43.7368417694629
"g368",7560.29652368909,1780.81211275082,3396.8758674221,3681.65609692856,6365.81336659663,3536.68108739735
"g369",15517.3224885916,118.966733580971,254.021145320373,1179.67586010058,1514.93441168014,1773.48605449508
"g370",132.583103747414,3.68889096375105,8.75934983863356,56.1312226724924,47.7365801641565,28.3003093802407
"g371",20461.6523883413,823.544907657423,1037.98295587808,1615.84306578519,2440.18165662659,3687.61607075864
"g372",7769.36987959847,2003.06779331682,2758.31926418571,10578.4350138192,35516.0156421324,11315.8358264326
"g373",3563.42588071896,2619.11258426325,3751.62953588676,5195.35874112938,7745.96214016621,3554.69037518478
"g374",6.11922017295758,4.61111370468882,0,64.4128784766307,71.6048702462347,8.57585132734566
"g375",357.974380118018,402.089115048865,362.63708331943,572.354434463775,675.332207616449,698.931883178672
"g379",811.816542945705,847.522698921805,700.747987090685,258.57169788476,365.044436549432,469.099067605808
"g380",259.046987321871,182.600102705677,169.055451885628,67.1734304113434,133.381621046908,99.4798753972097
"g381",1284.01636629226,2916.99052958615,937.250432733791,526.345235551896,1276.25151085936,363.616096279456
"g382",55.0729815566182,49.8000280106392,35.9133343383976,17.483495586514,39.3124777822465,53.1702782295431
"g383",92.8081726231899,73.7778192750211,64.8191888058884,32.2064392383153,18.2522218274716,45.452012034932
"g384",181.536865131075,213.955675897561,162.047972014721,115.022997279698,124.957518664998,219.541793980049
"g385",186.636215275206,340.300191406035,234.750575675379,256.731329928285,126.361535728649,258.133124953104
"g386",912.783675799505,8469.69365277242,7911.44477425383,1002.08035230073,758.169214371897,907.325070433171
"g387",6.11922017295758,0,1.75186996772671,1.84036795647516,5.61606825460664,0
"g388",1041.28729943161,1104.82284364344,1228.06084737643,238.327650363533,623.383576261338,301.869966722567
"g389",0,3.68889096375105,1.75186996772671,1.84036795647516,4.21205119095498,0
"g390",1034.14820922983,2478.93472764071,2179.32623985203,710.382031199412,880.318698909592,1252.07429379247
"g391",157.059984439244,120.811179062847,184.822281595168,98.4596856714212,53.3526484187631,165.513930617771
"g392",1.01987002882626,0,0,9.20183978237581,5.61606825460664,0.857585132734566
"g393",324.318669166752,499.844725588268,494.903265882796,2308.74160139809,1952.98773553946,2318.91019891427
"g394",49.9736314124869,90.3778286119008,76.206343596112,304.580896796639,360.832385358477,271.854487076858
"g396",18.3576605188727,22.1333457825063,15.7668297095404,31.2862552600778,7.02008531825831,22.2972134510987
"g397",528.292674932004,559.789203749222,477.384566205529,757.311414089529,596.707252051956,646.619190081863
"g398",168.278554756333,47.9555825287637,52.5560990318014,41.4082790206911,64.5847849279764,74.6099065479073
"g399",1284.01636629226,1162.92287632252,1275.36133650505,1897.41936312589,1707.28474940042,1758.04952210586
"g400",507.895274355479,601.289227091422,505.414485689157,711.30221517765,466.133665132351,653.47987114374
"g406",707.789800005426,538.578080707654,464.245541447579,528.185603508371,876.106647718637,638.043338754517
"g407",549.709945537356,623.422572873928,776.954330686797,1266.17315405491,1944.56363315755,1016.23838229046
"g408",15.2980504323939,25.8222367462574,28.9058544674908,72.6945342807689,50.5446142914598,44.5944269021974
"g409",390.610221040459,438.978024686375,512.421965560063,953.310601454134,767.997333817459,869.59132459285
"g410",2.03974005765253,0.922222740937764,0,4.60091989118791,12.636153572865,0
"g411",1360.50661845423,1060.55615207843,1051.12198063603,1148.3896048405,1311.35193745065,764.108353266499
"g414",449.762682712382,264.677926649138,230.370900756063,326.665312274341,219.026661929659,489.681110791437
"g415",9.17883025943636,15.677786595942,13.1390247579503,27.6055193471274,18.2522218274716,12.0061918582839
"g416",103.006872911453,118.044510840034,151.536752208361,208.881763059931,227.450764311569,218.684208847314
"g417",432.424892222335,348.600196074475,331.979358884212,631.246209070981,525.102381805721,492.253866189641
"g418",54.0531115277919,63.6333691247057,69.1988637252051,23.0045994559395,25.2723071457299,18.0092877874259
"g419",4995.32340119103,490.62249817889,612.278553720486,4388.35739221502,8509.74742279272,1839.52010971564
"g422",42.834541210703,391.022442157612,255.7730152881,80.9761900849071,536.334518314935,133.783280706592
"g423",24.4768806918303,23.9777912643819,15.7668297095404,8.28165580413823,19.6562388911233,38.5913309730555
